Delivery_person_Age,Delivery_person_Ratings,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Order_picked_hour,Pickup_delay_minute
37,4.9,Sunny,High,2,motorcycle ,0,No ,Urban ,24,3.0,11,15.0
34,4.5,Stormy,Jam,2,scooter ,1,No ,Metropolitian ,33,20.2,19,5.0
23,4.4,Sandstorms,Low,0,motorcycle ,1,No ,Urban ,26,1.6,8,15.0
38,4.7,Sunny,Medium,0,motorcycle ,1,No ,Metropolitian ,21,7.8,18,10.0
22,4.8,Cloudy,Jam,0,motorcycle ,1,No ,Urban ,26,4.6,21,10.0
33,4.7,Fog,Jam,1,scooter ,1,No ,Metropolitian ,40,16.6,19,15.0
35,4.6,Cloudy,Medium,2,motorcycle ,1,No ,Metropolitian ,32,20.2,17,5.0
22,4.8,Stormy,Jam,0,motorcycle ,1,No ,Metropolitian ,34,20.0,21,10.0
36,4.2,Fog,Jam,2,motorcycle ,3,No ,Metropolitian ,46,10.3,22,15.0
21,4.7,Stormy,High,1,motorcycle ,1,No ,Metropolitian ,23,6.2,15,10.0
23,4.7,Sandstorms,Medium,1,scooter ,1,No ,Metropolitian ,21,13.8,17,10.0
34,4.3,Sandstorms,Low,0,motorcycle ,0,No ,Metropolitian ,20,2.9,9,10.0
24,4.7,Fog,Jam,1,scooter ,1,No ,Metropolitian ,41,19.4,20,15.0
29,4.5,Sandstorms,Jam,2,electric_scooter ,1,No ,Metropolitian ,20,13.8,20,10.0
35,4.0,Windy,High,1,scooter ,1,No ,Metropolitian ,33,6.2,15,15.0
33,4.2,Sandstorms,Jam,2,motorcycle ,1,No ,Metropolitian ,40,16.8,20,10.0
34,4.9,Cloudy,Jam,0,motorcycle ,0,No ,Metropolitian ,41,10.8,20,10.0
21,4.7,Windy,Jam,0,motorcycle ,1,No ,Urban ,15,4.5,21,15.0
25,4.1,Sandstorms,Jam,0,motorcycle ,2,No ,Metropolitian ,36,12.3,20,5.0
31,4.7,Sandstorms,Low,2,electric_scooter ,0,No ,Metropolitian ,26,19.6,22,15.0
37,5.0,Sandstorms,Low,1,motorcycle ,1,No ,Metropolitian ,20,1.6,8,15.0
